NAME,NES_NTVE,FDR q-val_NTVE,NES_lysate,FDR q-val_lysate,neg_log10_FDR_NTVE,neg_log10_FDR_lysate
INTERFERON_GAMMA_RESPONSE,1.6134459,0.0,2.035242,0.0015599999,3.0,2.591760051652779
INTERFERON_ALPHA_RESPONSE,1.5342748,0.06572906,1.9944456,0.009512951,1.1756849929326598,1.978275359792368
INFLAMMATORY_RESPONSE,1.5196797,0.06814303,1.9427341,0.022454133,1.1602515926349968,1.6297806164484427
IL6_JAK_STAT3_SIGNALING,1.5234829,0.07302339,1.9450514,0.028840566,1.1306310296896895,1.525192943654277
COMPLEMENT,1.5455861,0.052417114,1.9132248,0.04009262,1.2723195795818225,1.3862361679309245
TNFA_SIGNALING_VIA_NFKB,1.4607568,0.17634627,1.8942115,0.05111149,0.7511779413079261,1.283066509072217
ALLOGRAFT_REJECTION,1.5936016,0.0019563723,1.8741771,0.062035296,2.5292408755362104,1.2004162034732495
UV_RESPONSE_UP,1.4873214,0.13345537,1.8262426,0.10881145,0.8714218478490454,0.9593523737970431
APOPTOSIS,1.4126048,0.2476084,1.7980789,0.1297989,0.6044842014706548,0.8833959083507339
IL2_STAT5_SIGNALING,,,1.6082263,0.2815024,,0.548977858278776
FATTY_ACID_METABOLISM,1.4492925,0.1819438,1.6468415,0.28830755,0.7376823042501481,0.5386402325098003
KRAS_SIGNALING_UP,,,1.5588987,0.29384294,,0.5304092669221284
XENOBIOTIC_METABOLISM,,,1.5767938,0.29791653,,0.5244500679339981
HEDGEHOG_SIGNALING,,,1.6150886,0.29892814,,0.5229827857463134
P53_PATHWAY,1.0555015,0.58648944,1.4850693,0.34810272,0.23099993533868773,0.45704676740928485
COAGULATION,0.9972186,0.60662794,,,0.21636226458403326,
MYC_TARGETS_V2,1.061264,0.61537033,,,0.21015827492994194,
OXIDATIVE_PHOSPHORYLATION,1.0341138,0.5847848,,,0.23226190162295798,
REACTIVE_OXYGEN_SPECIES_PATHWAY,1.2487488,0.5510496,,,0.2580219004617865,
