sample_name,sample_type,construct,replicate
SN_S1_1_MKDL250005004-1A_22VVM5LT4_L5,SN,1,1
SN_S1_2_MKDL250005004-1A_22VVM5LT4_L5,SN,1,2
SN_S1_3_MKDL250005004-1A_22VVM5LT4_L5,SN,1,3
SN_S2_1_MKDL250005004-1A_22VVM5LT4_L5,SN,2,1
SN_S2_2_MKDL250005004-1A_22VVM5LT4_L5,SN,2,2
SN_S2_3_MKDL250005004-1A_22VVM5LT4_L5,SN,2,3
SN_S3_1_MKDL250005004-1A_22VVM5LT4_L5,SN,3,1
SN_S3_2_MKDL250005004-1A_22VVM5LT4_L5,SN,3,2
SN_S3_3_MKDL250005004-1A_22VVM5LT4_L5,SN,3,3
SN_S4_1_MKDL250005004-1A_22VVM5LT4_L5,SN,4,1
SN_S4_2_MKDL250005004-1A_22VVM5LT4_L5,SN,4,2
SN_S4_3_MKDL250005004-1A_22VVM5LT4_L5,SN,4,3
SN_S5_1_MKDL250005004-1A_22VVM5LT4_L5,SN,5,1
SN_S5_2_MKDL250005004-1A_22VVM5LT4_L5,SN,5,2
SN_S5_3_MKDL250005004-1A_22VVM5LT4_L5,SN,5,3
SN_S6_1_MKDL250005004-1A_22VVM5LT4_L5,SN,6,1
SN_S6_2_MKDL250005004-1A_22VVM5LT4_L5,SN,6,2
SN_S6_3_MKDL250005004-1A_22VVM5LT4_L5,SN,6,3
Lysate_S1_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,1,1
Lysate_S1_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,1,2
Lysate_S1_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,1,3
Lysate_S2_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,2,1
Lysate_S2_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,2,2
Lysate_S2_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,2,3
Lysate_S3_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,3,1
Lysate_S3_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,3,2
Lysate_S3_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,3,3
Lysate_S4_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,4,1
Lysate_S4_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,4,2
Lysate_S4_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,4,3
Lysate_S5_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,5,1
Lysate_S5_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,5,2
Lysate_S5_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,5,3
Lysate_S6_1_MKDL250005004-1A_22VVM5LT4_L5,Lysate,6,1
Lysate_S6_2_MKDL250005004-1A_22VVM5LT4_L5,Lysate,6,2
Lysate_S6_3_MKDL250005004-1A_22VVM5LT4_L5,Lysate,6,3
