Sample,FullName,Day,Time,Replicate
cm_0_1,cm_0_1_MKDL250010856-1A_22YHCGLT4_L3,0,0,1
cm_0_2,cm_0_2_MKDL250010856-1A_22YHCGLT4_L3,0,0,2
cm_0_3,cm_0_3_MKDL250010856-1A_22YHCGLT4_L3,0,0,3
cm_1_1,cm_1_1_MKDL250010856-1A_22YHCGLT4_L3,1,1,1
cm_1_2,cm_1_2_MKDL250010856-1A_22YHCGLT4_L3,1,1,2
cm_1_3,cm_1_3_MKDL250010856-1A_22YHCGLT4_L3,1,1,3
cm_2_1,cm_2_1_MKDL250010856-1A_22YHCGLT4_L3,2,2,1
cm_2_2,cm_2_2_MKDL250010856-1A_22YHCGLT4_L3,2,2,2
cm_2_3,cm_2_3_MKDL250010856-1A_22YHCGLT4_L3,2,2,3
cm_3_1,cm_3_1_MKDL250010856-1A_22YHCGLT4_L3,3,3,1
cm_3_2,cm_3_2_MKDL250010856-1A_22YHCGLT4_L3,3,3,2
cm_3_3,cm_3_3_MKDL250010856-1A_22YHCGLT4_L3,3,3,3
cm_4_1,cm_4_1_MKDL250010856-1A_22YHCGLT4_L3,4,4,1
cm_4_2,cm_4_2_MKDL250010856-1A_22YHCGLT4_L3,4,4,2
cm_4_3,cm_4_3_MKDL250010856-1A_22YHCGLT4_L3,4,4,3
cm_5_1,cm_5_1_MKDL250010856-1A_22YHCGLT4_L3,5,5,1
cm_5_2,cm_5_2_MKDL250010856-1A_22YHCGLT4_L3,5,5,2
cm_5_3,cm_5_3_MKDL250010856-1A_22YHCGLT4_L3,5,5,3
cm_6_1,cm_6_1_MKDL250010856-1A_22YHCGLT4_L3,6,6,1
cm_6_2,cm_6_2_MKDL250010856-1A_22YHCGLT4_L3,6,6,2
cm_6_3,cm_6_3_MKDL250010856-1A_22YHCGLT4_L3,6,6,3
cm_7_1,cm_7_1_MKDL250010856-1A_22YHCGLT4_L3,7,7,1
cm_7_2,cm_7_2_MKDL250010856-1A_22YHCGLT4_L3,7,7,2
cm_7_3,cm_7_3_MKDL250010856-1A_22YHCGLT4_L3,7,7,3
cm_8_1,cm_8_1_MKDL250010856-1A_22YHCGLT4_L3,8,8,1
cm_8_2,cm_8_2_MKDL250010856-1A_22YHCGLT4_L3,8,8,2
cm_8_3,cm_8_3_MKDL250010856-1A_22YHCGLT4_L3,8,8,3
cm_9_1,cm_9_1_MKDL250010856-1A_22YHCGLT4_L3,9,9,1
cm_9_2,cm_9_2_MKDL250010856-1A_22YHCGLT4_L3,9,9,2
cm_9_3,cm_9_3_MKDL250010856-1A_22YHCGLT4_L3,9,9,3
