"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Intercept","Replicate_2_vs_1","Replicate_3_vs_1","spline1","spline2","spline3","spline4"
"ENSG00000059804",13.7355659350937,-3.51010959679771,1.12087641558214,88.6701754042653,2.5231932634799e-18,1.5631182267258e-15,-1.71829295513304,-1.06480018064449,-0.817104149216271,5.71169699652456,7.48544089053075,8.88014486816839,-3.51010959679771
"ENSG00000094916",5.50129830966015,-3.51471808963599,1.3684892360459,28.7139550614328,8.93613313393171e-06,0.000551776423395219,1.90536273598386,-0.430216064123123,-1.08545025798364,2.44560198282434,-3.08092472745052,-0.0873306868200552,-3.51471808963599
"ENSG00000099800",8.88142903192658,-6.28727233688512,1.29699450706099,38.3489555776128,9.49363225478999e-08,9.80217530307066e-06,4.74590209354916,-0.696486191889189,-0.931994815648598,-0.810350840619829,-1.68044714556483,-5.78413020063371,-6.28727233688512
"ENSG00000106631",11.4578653613862,6.27479538851233,1.07778172254137,82.5231957292616,5.08465681767257e-17,2.09996326569877e-14,-1.37674009520477,-0.644801813943441,-0.929204805716968,2.46140813825152,7.85886359800538,7.75550521134247,6.27479538851233
"ENSG00000111057",26.4989445160449,4.05986653741252,0.863619506034304,54.1487398989965,4.89847108088164e-11,8.6702938131605e-09,-0.691611075446717,1.17125595444464,1.65566891596678,3.9857268192319,5.56773731312404,6.91972906888078,4.05986653741252
"ENSG00000111640",39.8026417342999,3.41491776804444,0.636874561159197,59.1156095363968,4.44969910014473e-12,1.10263543701587e-09,2.80822383958716,0.212567956571433,0.121147820779137,0.995735078630247,2.94511122881599,4.47418425726955,3.41491776804444
"ENSG00000133980",5.14942257007413,-5.16766678989686,1.73536687302582,36.734150658375,2.04335854166905e-07,1.94747787163689e-05,2.80326989334923,-0.575615463119097,-0.248204791681108,-0.319221279297883,-7.98016368544254,-3.13121239454359,-5.16766678989686
"ENSG00000137501",4.45697457396782,-0.781187540961949,0.99881833215643,53.2805895842589,7.44405624919634e-11,1.15289821159428e-08,4.28431379729454,-0.296284321599836,0.269885384059947,-5.06361620771443,-6.59239308993093,-5.10718661047295,-0.781187540961949
"ENSG00000140416",41.1174312473803,3.20086693179394,0.679460269995829,81.9076927737473,6.86660847467376e-17,2.1269319750302e-14,2.53943731948737,0.218010924292145,0.0390100397039756,1.94782894264693,5.28211508672958,2.99855101454944,3.20086693179394
"ENSG00000146223",29.6792027026303,-5.73007923385405,1.04186943169371,44.9868252641222,4.00111580396244e-09,4.95738248110946e-07,4.14672239304201,-0.360163742508566,0.0121523892957664,-0.0898902451001752,0.42019824765718,0.426515436206603,-5.73007923385405
"ENSG00000149485",3.90418141176475,-3.59616580517625,1.28248529406,29.232127153985,7.01287034732317e-06,0.000457312966333337,3.72288367866379,-1.99542908843674,-1.77304229611331,-1.44268109019086,-4.78261924803423,-2.25692955435083,-3.59616580517625
"ENSG00000159251",5.29229725314366,6.93494977107101,1.46201031113542,51.6722755460692,1.61520609329768e-10,2.22360038843981e-08,-2.27064084764797,0.151101688724155,-0.407903899627696,2.90015345078405,7.83557340075015,4.24991882147905,6.93494977107101
"ENSG00000166275",5.91444952795282,-4.32207876412103,1.15181950855271,42.8122609659276,1.13188554349307e-08,1.27491471671629e-06,0.786109358392823,0.0381273071683317,-0.122951294614526,-2.42798640081912,-0.354412775629439,5.3624010790973,-4.32207876412103
"ENSG00000169213",7.89058140626293,-1.99762807623689,1.26476210814135,30.4645190519351,3.93634104454135e-06,0.000286889797305102,6.02740965889332,-1.09742158872279,-1.29476126292885,-0.714307806768478,-6.69987524398818,-8.11372952642554,-1.99762807623689
"ENSG00000170421",19.9764270439631,5.44399378448639,0.942837994084181,58.3644812642923,6.39831181491788e-12,1.32125138978054e-09,-1.20549829939955,-0.49773705552775,0.278415336056146,4.54936728394882,5.73513831245181,9.63543565581481,5.44399378448639
"ENSG00000171345",10.3783919764707,2.16416585886825,1.34794184345098,30.7052382353687,3.51584366683921e-06,0.000272258143950861,-3.06122898564074,1.13480191207191,-0.346896982782681,7.33437038947216,6.58630733959365,9.06306607964988,2.16416585886825
"ENSG00000183287",4.63894471750872,2.05012258834483,1.570792530448,35.6951769807353,3.34307865274693e-07,2.95862460768104e-05,-3.63425728978788,2.00684693195879,0.524273148885615,9.65582505815611,3.18051964377801,3.5438968961378,2.05012258834483
"ENSG00000184787",16.4064636560431,-5.74086917197504,1.21855379936375,29.3363019897959,6.67914253293041e-06,0.000457312966333337,4.16839162691696,-0.166392694183478,0.0796496625130987,0.26539726963133,0.688883220683298,-3.22132926978818,-5.74086917197504
"ENSG00000185155",7.65263818837188,-7.00607001510307,1.39171239761144,113.65183422929,1.21043172365998e-23,1.49972490561472e-20,3.52899399275237,-0.33296502741648,0.425743880459756,-6.53518434593153,-7.66142893614803,-3.09040911834606,-7.00607001510307
"ENSG00000185414",6.74170596991414,0.629006941982312,1.59451002545611,33.0234220909801,1.18136360906447e-06,9.75806341087254e-05,0.2154921212353,0.472826432454368,-0.159999165169638,8.14354326125028,-1.51649205811077,-2.46282187400925,0.629006941982312
