day,pathway,label,pval,padj,NES
8,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,5.20865236978019e-17,3.29707695007086e-14,4.57624798076381
8,GOBP_MUSCLE_SYSTEM_PROCESS,muscle system process,5.882461748105339e-11,1.75058204013839e-08,3.45566093079527
8,GOBP_MUSCLE_CONTRACTION,muscle contraction,8.296597346627449e-11,1.75058204013839e-08,3.73957572428004
0,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,8.41264288597267e-11,5.44297994722431e-08,-2.84302972022094
2,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,2.72619571834965e-10,1.73386047687038e-07,-3.11208999322943
8,GOCC_I_BAND,i band,3.25688172653327e-10,5.1540153322389e-08,3.75726787650182
0,GOCC_I_BAND,i band,9.53716767967751e-10,3.08527374437567e-07,-2.72240759709413
7,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,1.5962546056733702e-09,5.20135452251401e-07,2.85694014068885
7,GOCC_SUPRAMOLECULAR_POLYMER,supramolecular polymer,1.6078375649193202e-09,5.20135452251401e-07,2.4733251265166
3,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,2.7765946761223204e-09,1.74370145660482e-06,-3.21525370012101
7,GOBP_MUSCLE_CONTRACTION,muscle contraction,7.440791795808941e-09,1.60473076396279e-06,2.84836240524138
7,GOCC_SUPRAMOLECULAR_COMPLEX,supramolecular complex,1.46214897724853e-08,2.36502597069949e-06,2.22537082271915
8,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,actin filament based movement,4.85700820016301e-08,6.14897238140637e-06,3.28432159428451
7,GOBP_MUSCLE_SYSTEM_PROCESS,muscle system process,6.19192548091217e-08,8.01235157230035e-06,2.74993653946038
6,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,8.8835258721969e-08,5.74764123931139e-05,2.63750322692934
0,GOCC_SUPRAMOLECULAR_POLYMER,supramolecular polymer,1.52093205418491e-07,3.28014346352546e-05,-2.38511638299903
7,GOBP_STRIATED_MUSCLE_CONTRACTION,striated muscle contraction,1.52421406629659e-07,1.40880928699127e-05,2.78929555292027
7,GOBP_CARDIAC_MUSCLE_CONTRACTION,cardiac muscle contraction,1.52421406629659e-07,1.40880928699127e-05,2.78929555292027
8,GOBP_CARDIAC_MUSCLE_CONTRACTION,cardiac muscle contraction,2.09813200851248e-07,1.89731080198343e-05,3.16816537888479
8,GOBP_STRIATED_MUSCLE_CONTRACTION,striated muscle contraction,2.09813200851248e-07,1.89731080198343e-05,3.16816537888479
