day,rank_within_day,pathway,label,pval,padj,NES
0,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,3.9379527402706e-09,3.21336943606081e-06,-2.73382258435372
0,2,GOCC_I_BAND,i band,7.2182680495227e-08,2.94505336420526e-05,-2.61388017287656
0,3,GOCC_SUPRAMOLECULAR_POLYMER,supramolecular polymer,7.12284275792847e-06,0.0019374132301565,-2.03497054592764
1,1,GOBP_MUSCLE_SYSTEM_PROCESS,muscle system process,1.71325412261027e-06,0.0007916113929974,-2.32637433858495
1,2,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,1.94022400244482e-06,0.0007916113929974,-2.31957048744973
1,3,GOCC_SUPRAMOLECULAR_POLYMER,supramolecular polymer,1.06301511397351e-05,0.0028914011100079,-2.07740353369878
2,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,5.3366530995779505e-09,4.29600574516025e-06,-2.92870722454961
2,2,GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,cellular component assembly involved in morphogenesis,8.53410804810421e-08,3.43497848936194e-05,-3.06708369876915
2,3,GOBP_MUSCLE_CELL_DEVELOPMENT,muscle cell development,2.39906595247235e-06,0.0006437493639134,-2.69195953290713
3,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,9.5485650562871e-09,7.70569200042369e-06,-3.19001767099414
3,2,GOCC_I_BAND,i band,2.30244114559572e-05,0.0092903500224787,-2.55579437807476
3,3,GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,cellular component assembly involved in morphogenesis,0.0001061889846327,0.0285648368662057,-2.350076522261
4,1,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,gomf structural constituent of ribosome,6.39605405585259e-05,0.041714159897703,-2.19128614047874
4,2,GOCC_RIBOSOMAL_SUBUNIT,ribosomal subunit,0.0001022405879845,0.041714159897703,-2.07891864086007
6,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,1.67554162990149e-07,0.0001098900227321,2.61158180018035
6,2,GOCC_I_BAND,i band,2.69338291010168e-07,0.0001098900227321,2.71067956752515
6,3,GOCC_LARGE_RIBOSOMAL_SUBUNIT,large ribosomal subunit,5.17141605732191e-07,0.0001406625167591,2.72344357070782
7,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,2.4001900501606403e-09,1.95855508093108e-06,2.74754812471308
7,2,GOCC_SUPRAMOLECULAR_POLYMER,supramolecular polymer,1.69564681621952e-08,6.91823901017565e-06,2.31411485899453
7,3,GOBP_MUSCLE_SYSTEM_PROCESS,muscle system process,8.70625138793985e-08,2.14084796398602e-05,2.54518685458284
8,1,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,4.81660983817352e-14,3.86773770005333e-11,3.78959560045514
8,2,GOBP_MUSCLE_SYSTEM_PROCESS,muscle system process,6.57922642997843e-08,2.64155941163634e-05,2.74499777347673
8,3,GOBP_MUSCLE_CONTRACTION,muscle contraction,2.98986399418602e-07,7.9164845216244e-05,2.82355661129222
9,1,GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,cellular component assembly involved in morphogenesis,2.4130870634324e-05,0.0135887085200657,2.54376461440555
9,2,GOBP_MUSCLE_CELL_DEVELOPMENT,muscle cell development,3.33056581374158e-05,0.0135887085200657,2.57495365334331
9,3,GOCC_CONTRACTILE_MUSCLE_FIBER,contractile muscle fiber,5.70942114343752e-05,0.0140154944737977,2.07348879949629
